,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
41,Sehrou Guirassy,fr FRA,FW,23.0,22.1,37.0,1.73,23.0,0.0,3.0,0.0,11.0,0.0,10.0,0.47,4.0,0.0,1.0,0.0,5.0,0.0,0.0,Matches,amiens
42,Thomas Monconduit,fr FRA,MF,28.0,18.8,15.0,0.99,7.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
43,Fousseni Diabaté,ml MLI,"FW,MF",23.0,15.4,25.0,1.89,20.0,2.0,2.0,0.0,1.0,0.0,4.0,0.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,amiens
44,Eddy Gnahoré,fr FRA,MF,25.0,14.9,13.0,1.03,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,amiens
45,Juan Ferney Otero,co COL,"FW,MF",24.0,14.4,29.0,2.17,18.0,0.0,5.0,1.0,4.0,1.0,3.0,0.22,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,amiens
46,Stiven Mendoza,co COL,"FW,MF",27.0,14.0,22.0,1.8,14.0,1.0,1.0,1.0,3.0,2.0,3.0,0.25,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,amiens
47,Jordan Lefort,fr FRA,DF,25.0,13.7,7.0,0.75,4.0,0.0,3.0,0.0,0.0,0.0,2.0,0.21,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,amiens
48,Bongani Zungu,za RSA,MF,26.0,13.4,12.0,1.09,11.0,0.0,0.0,0.0,1.0,0.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
49,Christophe Jallet,fr FRA,DF,35.0,10.5,12.0,1.26,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
50,Moussa Konaté,sn SEN,FW,26.0,8.5,10.0,1.47,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,amiens
51,Nicholas Opoku,gh GHA,DF,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
