,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club,Player▲,Sh▼
26,Víctor López,es ESP,"MF,FW",20.0,2.7,0,2.0,0.0,0.0,3.05,0.0,0.0,,23.1,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,alaves,,
27,Enzo Fernández,es ESP,MF,22.0,1.7,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,alaves,,
28,Aleksandar Katai,rs SRB,"FW,MF",26.0,0.8,0,3.0,0.0,0.0,4.74,0.0,0.0,,24.7,1.0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,alaves,,
29,Héctor Hernández,es ESP,MF,26.0,0.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,alaves,,
30,Héctor Bellerín,es ESP,"DF,MF",22.0,46.2,3,31.0,9.0,29.0,0.67,0.19,0.1,0.33,17.0,0.0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches,Arsenal,,
31,Granit Xhaka,ch SUI,MF,24.0,46.0,3,83.0,23.0,27.7,1.8,0.5,0.04,0.13,28.0,8.0,0,0,2.0,2.0,0.03,-1.0,-1.0,Matches,Arsenal,,
32,Petr Čech,cz CZE,GK,35.0,38.1,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal,,
33,Shkodran Mustafi,de GER,DF,25.0,36.3,3,22.0,6.0,27.3,0.61,0.17,0.14,0.5,11.9,0.0,0,0,1.0,1.0,0.06,2.0,2.0,Matches,Arsenal,,
34,Nacho Monreal,es ESP,DF,31.0,34.3,6,29.0,12.0,41.4,0.84,0.35,0.21,0.5,17.5,0.0,0,0,1.8,1.8,0.08,3.2,3.2,Matches,Arsenal,,
35,Mesut Özil,de GER,"MF,FW",28.0,32.8,5,48.0,15.0,31.3,1.46,0.46,0.1,0.33,18.9,6.0,0,0,4.2,4.2,0.1,-0.2,-0.2,Matches,Arsenal,,
36,Laurent Koscielny,fr FRA,DF,31.0,31.0,2,12.0,2.0,16.7,0.39,0.06,0.17,1.0,8.7,0.0,0,0,1.9,1.9,0.21,0.1,0.1,Matches,Arsenal,,
37,Alexandre Lacazette,fr FRA,FW,26.0,30.5,17,81.0,36.0,44.4,2.65,1.18,0.17,0.39,13.1,0.0,3,3,11.8,10.3,0.15,2.2,1.7,Matches,Arsenal,,
38,Jack Wilshere,eng ENG,MF,25.0,29.6,2,36.0,15.0,41.7,1.22,0.51,0.06,0.13,17.9,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,Arsenal,,
39,Alex Iwobi,ng NGA,"FW,MF",21.0,29.2,3,66.0,28.0,42.4,2.26,0.96,0.05,0.11,18.3,0.0,0,0,3.0,3.0,0.07,0.0,0.0,Matches,Arsenal,,
40,Sead Kolašinac,ba BIH,"DF,MF",24.0,29.1,5,25.0,9.0,36.0,0.86,0.31,0.2,0.56,12.7,0.0,0,0,2.5,2.5,0.12,-0.5,-0.5,Matches,Arsenal,,
41,Aaron Ramsey,wal WAL,MF,26.0,27.4,11,79.0,35.0,44.3,2.88,1.28,0.14,0.31,16.6,0.0,0,0,5.1,5.1,0.09,1.9,1.9,Matches,Arsenal,,
42,Mohamed Elneny,eg EGY,MF,25.0,26.0,1,25.0,4.0,16.0,0.96,0.15,0.04,0.25,24.8,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,Arsenal,,
43,Danny Welbeck,eng ENG,"FW,MF",26.0,26.0,10,61.0,31.0,50.8,2.35,1.19,0.15,0.29,14.1,0.0,1,1,4.4,4.4,0.14,0.6,0.6,Matches,Arsenal,,
44,Rob Holding,eng ENG,DF,21.0,22.4,1,10.0,3.0,30.0,0.45,0.13,0.1,0.33,9.0,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,Arsenal,,
45,Ainsley Maitland-Niles,eng ENG,"DF,MF",19.0,21.7,0,9.0,2.0,22.2,0.41,0.09,0.0,0.0,21.6,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,Arsenal,,
46,David Ospina,co COL,GK,28.0,20.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal,,
47,Calum Chambers,eng ENG,DF,22.0,19.5,0,16.0,6.0,37.5,0.82,0.31,0.0,0.0,13.1,0.0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches,Arsenal,,
48,Alexis Sánchez,cl CHI,"FW,MF",28.0,19.0,8,78.0,29.0,37.2,4.11,1.53,0.09,0.24,19.7,14.0,1,1,7.3,6.5,0.09,-0.3,-0.5,Matches,Arsenal,,
49,Olivier Giroud,fr FRA,FW,30.0,14.1,7,55.0,16.0,29.1,3.9,1.13,0.09,0.31,10.4,0.0,2,2,3.0,3.0,0.16,1.0,1.0,Matches,Arsenal,,
50,Henrikh Mkhitaryan,am ARM,"FW,MF",28.0,13.4,3,38.0,17.0,44.7,2.83,1.26,0.08,0.18,17.7,1.0,0,0,1.8,1.8,0.09,0.2,0.2,Matches,Arsenal,,
51,Pierre-Emerick Aubameyang,ga GAB,FW,28.0,12.7,10,29.0,18.0,62.1,2.28,1.41,0.31,0.5,13.1,1.0,1,2,8.3,6.8,0.25,1.7,2.2,Matches,Arsenal,,
52,Theo Walcott,eng ENG,"MF,FW",28.0,10.2,4,36.0,15.0,41.7,3.51,1.46,0.11,0.27,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal,,
53,Per Mertesacker,de GER,DF,32.0,9.4,2,6.0,4.0,66.7,0.64,0.43,0.33,0.5,12.3,0.0,0,0,0.3,0.3,0.09,0.7,0.7,Matches,Arsenal,,
54,Reiss Nelson,eng ENG,"MF,FW",17.0,8.5,0,9.0,5.0,55.6,1.06,0.59,0.0,0.0,17.7,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Arsenal,,
55,Francis Coquelin,fr FRA,"MF,DF",26.0,8.2,0,6.0,0.0,0.0,0.73,0.0,0.0,,19.0,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Arsenal,,
56,Mathieu Debuchy,fr FRA,DF,32.0,7.2,1,3.0,1.0,33.3,0.42,0.14,0.33,1.0,,,0,0,,,,,,Matches,Arsenal,,
57,Joe Willock,eng ENG,MF,17.0,5.7,0,8.0,0.0,0.0,1.4,0.0,0.0,,11.7,0.0,0,0,0.2,0.2,0.2,-0.2,-0.2,Matches,Arsenal,,
58,Alex Oxlade-Chamberlain,eng ENG,"MF,DF",23.0,4.0,0,9.0,2.0,22.2,2.24,0.5,0.0,0.0,25.5,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Arsenal,,
59,Matt Macey,eng ENG,GK,22.0,2.3,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Arsenal,,
