,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club,Player▲,Sh▼
1029,Steve Mounié,bj BEN,FW,22.0,23.9,9,60.0,27.0,45.0,2.51,1.13,0.15,0.33,13.7,1.0,0,0,5.3,5.3,0.11,1.7,1.7,Matches,Huddersfield,,
1030,Tommy Smith,eng ENG,DF,25.0,22.9,0,9.0,2.0,22.2,0.39,0.09,0.0,0.0,26.2,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,Huddersfield,,
1031,Laurent Depoitre,be BEL,FW,28.0,22.2,6,28.0,12.0,42.9,1.26,0.54,0.21,0.5,11.7,0.0,0,0,3.8,3.8,0.16,2.2,2.2,Matches,Huddersfield,,
1032,Florent Hadergjonaj,xk KVX,"DF,MF",23.0,22.2,0,11.0,6.0,54.5,0.5,0.27,0.0,0.0,26.0,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Huddersfield,,
1033,Chris Löwe,de GER,DF,28.0,18.8,0,10.0,2.0,20.0,0.53,0.11,0.0,0.0,26.3,3.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Huddersfield,,
1034,Collin Quaner,de GER,"FW,MF",26.0,18.7,0,21.0,4.0,19.0,1.12,0.21,0.0,0.0,15.6,0.0,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches,Huddersfield,,
1035,Scott Malone,eng ENG,DF,26.0,16.8,0,15.0,4.0,26.7,0.89,0.24,0.0,0.0,19.1,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,Huddersfield,,
1036,Elias Kachunga,cd COD,"FW,MF",25.0,16.0,1,13.0,5.0,38.5,0.81,0.31,0.08,0.2,10.8,0.0,0,0,1.8,1.8,0.16,-0.8,-0.8,Matches,Huddersfield,,
1037,Danny Williams,us USA,MF,28.0,15.9,1,17.0,6.0,35.3,1.07,0.38,0.06,0.17,23.8,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Huddersfield,,
1038,Terence Kongolo,nl NED,DF,23.0,15.8,0,4.0,0.0,0.0,0.25,0.0,0.0,,14.4,0.0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,Huddersfield,,
1039,Philip Billing,dk DEN,MF,21.0,13.1,1,24.0,6.0,25.0,1.83,0.46,0.0,0.0,27.7,0.0,1,1,0.1,0.1,0.02,-0.1,-0.1,Matches,Huddersfield,,
1040,Alex Pritchard,eng ENG,"MF,FW",24.0,11.1,1,21.0,5.0,23.8,1.89,0.45,0.05,0.2,20.1,2.0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches,Huddersfield,,
1041,Abdelhamid Sabiri,de GER,"MF,DF",20.0,5.6,0,14.0,5.0,35.7,2.49,0.89,0.0,0.0,16.6,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Huddersfield,,
1042,Joe Lolley,eng ENG,"MF,FW",24.0,5.1,2,8.0,5.0,62.5,1.58,0.99,0.25,0.4,20.4,0.0,0,0,0.2,0.2,0.05,0.8,0.8,Matches,Huddersfield,,
1043,Michael Hefele,de GER,DF,26.0,4.3,0,2.0,1.0,50.0,0.47,0.23,0.0,0.0,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Huddersfield,,
1044,Joel Coleman,eng ENG,GK,21.0,4.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Huddersfield,,
1045,Martin Cranie,eng ENG,"DF,MF",30.0,3.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Huddersfield,,
1046,Kasey Palmer,jm JAM,"MF,FW",20.0,2.7,0,5.0,2.0,40.0,1.85,0.74,0.0,0.0,22.1,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Huddersfield,,
1047,Dean Whitehead,eng ENG,MF,35.0,2.1,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Huddersfield,,
1048,Jordan Williams,eng ENG,DF,17.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Huddersfield,,
1049,Sean Scannell,ie IRL,"FW,MF",26.0,0.2,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Huddersfield,,
1050,Kyriakos Papadopoulos,gr GRE,DF,25.0,30.0,1,28.0,6.0,21.4,0.93,0.2,0.04,0.17,9.9,1.0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches,HumbergerSV,,
1051,Gideon Jung,de GER,"MF,DF",22.0,29.1,1,8.0,2.0,25.0,0.28,0.07,0.13,0.5,18.5,0.0,0,0,0.5,0.5,0.07,0.5,0.5,Matches,HumbergerSV,,
1052,Douglas Santos,br BRA,DF,23.0,27.1,1,22.0,7.0,31.8,0.81,0.26,0.05,0.14,26.0,1.0,0,0,1.0,1.0,0.05,0.0,0.0,Matches,HumbergerSV,,
1053,Filip Kostić,rs SRB,"FW,MF",24.0,27.1,5,62.0,26.0,41.9,2.29,0.96,0.08,0.19,18.8,3.0,0,1,6.9,6.2,0.1,-1.9,-1.2,Matches,HumbergerSV,,
1054,Gōtoku Sakai,jp JPN,"DF,MF",26.0,26.4,0,18.0,5.0,27.8,0.68,0.19,0.0,0.0,23.4,0.0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches,HumbergerSV,,
1055,Christian Mathenia,de GER,GK,25.0,25.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,HumbergerSV,,
1056,Aaron Hunt,de GER,"MF,FW",30.0,24.0,3,28.0,6.0,21.4,1.17,0.25,0.07,0.33,23.4,10.0,1,1,2.8,2.1,0.08,0.2,-0.1,Matches,HumbergerSV,,
1057,Dennis Diekmeier,de GER,DF,27.0,20.8,0,5.0,2.0,40.0,0.24,0.1,0.0,0.0,18.2,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,HumbergerSV,,
1058,Bobby Wood,us USA,"FW,MF",24.0,18.9,3,42.0,10.0,23.8,2.22,0.53,0.02,0.1,14.0,0.0,2,2,5.9,5.1,0.13,-3.9,-4.1,Matches,HumbergerSV,,
1059,Mërgim Mavraj,al ALB,DF,31.0,17.1,0,6.0,1.0,16.7,0.35,0.06,0.0,0.0,10.0,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,HumbergerSV,,
1060,André Hahn,de GER,"FW,MF",26.0,16.1,3,42.0,17.0,40.5,2.61,1.06,0.07,0.18,16.6,0.0,0,0,3.4,3.4,0.08,-0.4,-0.4,Matches,HumbergerSV,,
1061,Rick van Drongelen,nl NED,DF,18.0,16.0,0,6.0,1.0,16.7,0.37,0.06,0.0,0.0,9.2,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,HumbergerSV,,
1062,Walace,br BRA,MF,22.0,15.6,1,20.0,6.0,30.0,1.28,0.38,0.05,0.17,24.2,0.0,0,0,0.7,0.7,0.04,0.3,0.3,Matches,HumbergerSV,,
1063,Lewis Holtby,de GER,"MF,FW",26.0,13.8,6,26.0,11.0,42.3,1.89,0.8,0.23,0.55,15.9,1.0,0,0,3.7,3.7,0.16,2.3,2.3,Matches,HumbergerSV,,
1064,Albin Ekdal,se SWE,MF,28.0,12.3,0,8.0,1.0,12.5,0.65,0.08,0.0,0.0,12.9,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,HumbergerSV,,
1065,Tatsuya Ito,jp JPN,"MF,FW",20.0,11.2,0,12.0,3.0,25.0,1.07,0.27,0.0,0.0,16.4,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,HumbergerSV,,
1066,Julian Pollersbeck,de GER,GK,22.0,10.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,HumbergerSV,,
1067,Jann-Fiete Arp,de GER,FW,17.0,9.4,2,18.0,7.0,38.9,1.91,0.74,0.11,0.29,13.7,0.0,0,0,2.3,2.3,0.13,-0.3,-0.3,Matches,HumbergerSV,,
1068,Luca Waldschmidt,de GER,"MF,FW",21.0,9.1,1,28.0,10.0,35.7,3.07,1.09,0.04,0.1,17.5,1.0,0,1,3.0,1.9,0.07,-2.0,-0.9,Matches,HumbergerSV,,
1069,Ville Matti Steinmann,de GER,MF,22.0,6.6,0,3.0,1.0,33.3,0.45,0.15,0.0,0.0,13.2,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,HumbergerSV,,
1070,Sejad Salihović,ba BIH,MF,32.0,4.1,1,8.0,1.0,12.5,1.95,0.24,0.0,0.0,29.4,0.0,1,1,0.9,0.2,0.03,0.1,-0.2,Matches,HumbergerSV,,
1071,Sven Schipplock,de GER,"FW,MF",28.0,3.9,0,5.0,2.0,40.0,1.29,0.52,0.0,0.0,12.3,0.0,0,0,0.8,0.8,0.15,-0.8,-0.8,Matches,HumbergerSV,,
1072,Vasilije Janjicic,ch SUI,MF,18.0,3.6,0,2.0,1.0,50.0,0.56,0.28,0.0,0.0,23.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,HumbergerSV,,
1073,Bakery Jatta,gm GAM,"MF,FW",19.0,3.3,0,3.0,2.0,66.7,0.91,0.61,0.0,0.0,12.1,0.0,0,0,0.9,0.9,0.3,-0.9,-0.9,Matches,HumbergerSV,,
1074,Nicolai Müller,de GER,"MF,DF",29.0,2.1,1,3.0,1.0,33.3,1.41,0.47,0.33,1.0,10.6,0.0,0,0,0.1,0.1,0.08,0.9,0.9,Matches,HumbergerSV,,
1075,Mohamed Gouaida,tn TUN,MF,24.0,0.6,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,HumbergerSV,,
1076,Stephan Ambrosius,de GER,DF,18.0,0.5,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,HumbergerSV,,
1077,Josha Vagnoman,de GER,"DF,MF",16.0,0.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,HumbergerSV,,
1078,Törles Knöll,de GER,MF,19.0,0.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,HumbergerSV,,
1079,Samir Handanović,si SVN,GK,33.0,38.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Inter,,
1080,Milan Škriniar,sk SVK,DF,22.0,38.0,4,21.0,10.0,47.6,0.55,0.26,0.19,0.4,12.1,0.0,0,0,2.8,2.8,0.13,1.2,1.2,Matches,Inter,,
1081,Ivan Perišić,hr CRO,FW,28.0,36.8,11,121.0,39.0,32.2,3.29,1.06,0.09,0.28,16.5,3.0,0,0,10.3,10.3,0.09,0.7,0.7,Matches,Inter,,
1082,Danilo D'Ambrosio,it ITA,DF,28.0,33.1,2,19.0,5.0,26.3,0.57,0.15,0.11,0.4,13.3,0.0,0,0,2.2,2.2,0.14,-0.2,-0.2,Matches,Inter,,
1083,Mauro Icardi,ar ARG,FW,24.0,32.9,29,96.0,46.0,47.9,2.92,1.4,0.24,0.5,12.8,1.0,6,7,23.6,18.3,0.19,5.4,4.7,Matches,Inter,,
1084,Antonio Candreva,it ITA,FW,30.0,28.2,0,75.0,25.0,33.3,2.66,0.89,0.0,0.0,22.4,1.0,0,0,3.5,3.5,0.05,-3.5,-3.5,Matches,Inter,,
1085,Miranda,br BRA,DF,32.0,30.3,0,12.0,1.0,8.3,0.4,0.03,0.0,0.0,9.2,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,Inter,,
1086,Borja Valero,es ESP,MF,32.0,28.5,2,18.0,8.0,44.4,0.63,0.28,0.11,0.25,16.2,0.0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches,Inter,,
1087,Matías Vecino,uy URU,MF,25.0,23.7,3,40.0,15.0,37.5,1.68,0.63,0.08,0.2,18.1,0.0,0,0,2.8,2.8,0.07,0.2,0.2,Matches,Inter,,
1088,Roberto Gagliardini,it ITA,MF,23.0,22.1,0,22.0,2.0,9.1,1.0,0.09,0.0,0.0,17.7,0.0,0,0,1.6,1.6,0.07,-1.6,-1.6,Matches,Inter,,
1089,Marcelo Brozović,hr CRO,MF,24.0,21.4,4,47.0,16.0,34.0,2.2,0.75,0.09,0.25,21.4,4.0,0,0,2.4,2.4,0.05,1.6,1.6,Matches,Inter,,
1090,João Cancelo,pt POR,DF,23.0,20.6,1,12.0,1.0,8.3,0.58,0.05,0.08,1.0,24.4,2.0,0,0,0.5,0.5,0.04,0.5,0.5,Matches,Inter,,
1091,Rafinha,br BRA,"MF,FW",24.0,11.6,2,16.0,8.0,50.0,1.38,0.69,0.13,0.25,17.1,0.0,0,0,1.9,1.9,0.12,0.1,0.1,Matches,Inter,,
1092,Davide Santon,it ITA,DF,26.0,9.3,0,7.0,2.0,28.6,0.75,0.22,0.0,0.0,26.0,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,Inter,,
1093,Yuto Nagatomo,jp JPN,DF,30.0,8.8,0,4.0,1.0,25.0,0.46,0.11,0.0,0.0,26.3,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Inter,,
1094,Andrea Ranocchia,it ITA,DF,29.0,7.0,2,7.0,3.0,42.9,1.0,0.43,0.29,0.67,8.0,0.0,0,0,0.6,0.6,0.09,1.4,1.4,Matches,Inter,,
1095,João Mário,pt POR,"MF,FW",24.0,6.2,0,13.0,3.0,23.1,2.11,0.49,0.0,0.0,18.8,1.0,0,0,1.3,1.3,0.1,-1.3,-1.3,Matches,Inter,,
1096,Dalbert Henrique,br BRA,DF,23.0,5.9,0,6.0,1.0,16.7,1.02,0.17,0.0,0.0,30.8,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Inter,,
1097,Éder,it ITA,"FW,MF",30.0,8.9,3,27.0,9.0,33.3,3.04,1.01,0.11,0.33,17.9,1.0,0,0,3.0,3.0,0.11,0.0,0.0,Matches,Inter,,
1098,Yann Karamoh,fr FRA,"FW,MF",19.0,5.4,1,20.0,7.0,35.0,3.68,1.29,0.05,0.14,18.7,0.0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches,Inter,,
1099,Lisandro López,ar ARG,DF,27.0,0.5,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Inter,,
1100,Andrea Pinamonti,it ITA,FW,18.0,0.2,0,1.0,0.0,0.0,6.43,0.0,0.0,,15.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Inter,,
1101,Squad Total,,,27.6,38.0,64,584.0,202.0,34.6,15.37,5.32,0.1,0.29,17.4,13.0,6,7,60.9,55.6,0.1,3.1,2.4,,Inter,,
1102,Opponent Total,,,27.0,38.0,27,451.0,119.0,26.4,11.87,3.13,0.06,0.21,19.0,22.0,2,2,35.3,33.7,0.08,-8.3,-8.7,,Inter,,
1103,Gonzalo Higuaín,ar ARG,FW,29.0,31.3,16,101.0,38.0,37.6,3.23,1.21,0.15,0.39,16.0,2.0,1,2,12.9,11.4,0.11,3.1,3.6,Matches,Juventus,,
1104,Miralem Pjanić,ba BIH,MF,27.0,27.6,5,52.0,16.0,30.8,1.88,0.58,0.1,0.31,24.4,17.0,0,0,2.8,2.8,0.05,2.2,2.2,Matches,Juventus,,
1105,Blaise Matuidi,fr FRA,MF,30.0,26.2,3,24.0,7.0,29.2,0.92,0.27,0.13,0.43,15.8,0.0,0,0,2.6,2.6,0.11,0.4,0.4,Matches,Juventus,,
1106,Mario Mandžukić,hr CRO,FW,31.0,25.8,5,52.0,22.0,42.3,2.01,0.85,0.1,0.23,11.5,0.0,0,0,5.8,5.8,0.11,-0.8,-0.8,Matches,Juventus,,
1107,Paulo Dybala,ar ARG,"MF,FW",23.0,26.1,22,109.0,40.0,36.7,4.17,1.53,0.17,0.48,20.6,18.0,3,5,12.5,8.8,0.08,9.5,10.2,Matches,Juventus,,
1108,Giorgio Chiellini,it ITA,DF,32.0,24.0,0,13.0,2.0,15.4,0.54,0.08,0.0,0.0,10.8,0.0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches,Juventus,,
1109,Sami Khedira,de GER,MF,30.0,21.2,9,33.0,18.0,54.5,1.55,0.85,0.27,0.5,15.6,0.0,0,0,4.1,4.1,0.12,4.9,4.9,Matches,Juventus,,
1110,Alex Sandro,br BRA,DF,26.0,23.5,4,21.0,7.0,33.3,0.89,0.3,0.19,0.57,14.5,0.0,0,0,2.6,2.6,0.13,1.4,1.4,Matches,Juventus,,
1111,Daniele Rugani,it ITA,DF,23.0,21.5,2,11.0,3.0,27.3,0.51,0.14,0.18,0.67,9.1,0.0,0,0,1.6,1.6,0.15,0.4,0.4,Matches,Juventus,,
1112,Gianluigi Buffon,it ITA,GK,39.0,20.7,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Juventus,,
1113,Stephan Lichtsteiner,ch SUI,DF,33.0,18.9,0,3.0,0.0,0.0,0.16,0.0,0.0,,31.3,0.0,0,1,0.8,0.1,0.02,-0.8,-0.1,Matches,Juventus,,
1114,Medhi Benatia,ma MAR,DF,30.0,19.5,2,14.0,4.0,28.6,0.72,0.21,0.14,0.5,9.6,0.0,0,0,2.5,2.5,0.19,-0.5,-0.5,Matches,Juventus,,
1115,Douglas Costa,br BRA,"FW,MF",26.0,19.9,4,38.0,15.0,39.5,1.91,0.75,0.11,0.27,19.5,1.0,0,0,2.7,2.7,0.07,1.3,1.3,Matches,Juventus,,
1116,Kwadwo Asamoah,gh GHA,DF,28.0,17.4,0,7.0,1.0,14.3,0.4,0.06,0.0,0.0,23.9,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Juventus,,
1117,Wojciech Szczęsny,pl POL,GK,27.0,17.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Juventus,,
1118,Juan Cuadrado,co COL,"FW,MF",29.0,15.0,4,28.0,9.0,32.1,1.86,0.6,0.14,0.44,15.7,0.0,0,0,3.9,3.9,0.14,0.1,0.1,Matches,Juventus,,
1119,Andrea Barzagli,it ITA,DF,36.0,16.1,0,1.0,0.0,0.0,0.06,0.0,0.0,,22.0,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,Juventus,,
1120,Mattia De Sciglio,it ITA,DF,24.0,10.8,1,5.0,1.0,20.0,0.46,0.09,0.2,1.0,25.2,0.0,0,0,0.1,0.1,0.02,0.9,0.9,Matches,Juventus,,
1121,Claudio Marchisio,it ITA,MF,31.0,9.1,0,12.0,4.0,33.3,1.32,0.44,0.0,0.0,27.0,0.0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches,Juventus,,
1122,Federico Bernardeschi,it ITA,"FW,MF",23.0,9.4,4,28.0,10.0,35.7,2.98,1.06,0.14,0.4,19.0,2.0,0,0,3.0,3.0,0.11,1.0,1.0,Matches,Juventus,,
1123,Stefano Sturaro,it ITA,"MF,DF",24.0,6.8,0,5.0,1.0,20.0,0.73,0.15,0.0,0.0,17.9,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Juventus,,
1124,Rodrigo Bentancur,uy URU,MF,20.0,6.5,0,5.0,2.0,40.0,0.77,0.31,0.0,0.0,27.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Juventus,,
1125,Benedikt Höwedes,de GER,DF,29.0,2.7,1,2.0,1.0,50.0,0.73,0.36,0.5,1.0,5.0,0.0,0,0,0.7,0.7,0.36,0.3,0.3,Matches,Juventus,,
1126,Carlo Pinsoglio,it ITA,GK,27.0,0.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Juventus,,
1127,Squad Total,,,29.2,38.0,82,564.0,201.0,35.6,14.84,5.29,0.14,0.39,17.7,40.0,4,8,59.8,54.0,0.1,22.2,24.0,,Juventus,,
1128,Opponent Total,,,27.0,38.0,22,319.0,94.0,29.5,8.39,2.47,0.06,0.2,19.3,17.0,3,4,28.7,25.7,0.08,-6.7,-6.7,,Juventus,,
1129,Timo Horn,de GER,GK,24.0,43.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Koln,,
1130,Dominique Heintz,de GER,DF,23.0,38.0,1,14.0,6.0,42.9,0.37,0.16,0.07,0.17,19.8,0.0,0,0,0.4,0.4,0.04,0.6,0.6,Matches,Koln,,
1131,Frederik Sørensen,dk DEN,DF,25.0,29.2,3,23.0,8.0,34.8,0.79,0.27,0.13,0.38,11.8,0.0,0,0,2.2,2.2,0.14,-0.2,-0.2,Matches,Koln,,
1132,Salih Özcan,de GER,MF,19.0,25.6,0,17.0,4.0,23.5,0.67,0.16,0.0,0.0,19.3,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,Koln,,
1133,Yuya Osako,jp JPN,"FW,MF",27.0,25.2,6,47.0,17.0,36.2,1.87,0.68,0.13,0.35,15.5,0.0,0,0,4.7,4.7,0.13,-0.7,-0.7,Matches,Koln,,
1134,Jorge Meré,es ESP,DF,20.0,24.5,1,5.0,1.0,20.0,0.2,0.04,0.2,1.0,14.1,0.0,0,0,0.4,0.4,0.08,0.6,0.6,Matches,Koln,,
1135,Miloš Jojić,rs SRB,"MF,FW",25.0,23.4,3,61.0,20.0,32.8,2.6,0.85,0.05,0.15,23.7,8.0,0,0,2.6,2.6,0.07,-0.6,-0.6,Matches,Koln,,
1136,Matthias Lehmann,de GER,MF,34.0,23.0,0,16.0,3.0,18.8,0.69,0.13,0.0,0.0,31.8,1.0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,Koln,,
1137,Leonardo Bittencourt,de GER,"MF,FW",23.0,21.9,6,49.0,19.0,38.8,2.24,0.87,0.12,0.32,15.4,0.0,0,0,3.3,3.3,0.1,1.7,1.7,Matches,Koln,,
1138,Jonas Hector,de GER,"DF,MF",27.0,20.9,2,14.0,4.0,28.6,0.67,0.19,0.14,0.5,15.3,0.0,0,0,1.0,1.0,0.07,1.0,1.0,Matches,Koln,,
1139,Marco Höger,de GER,MF,27.0,20.8,0,9.0,0.0,0.0,0.43,0.0,0.0,,18.3,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,Koln,,
1140,Lukas Klünter,de GER,"DF,FW",21.0,18.7,1,20.0,8.0,40.0,1.07,0.43,0.05,0.13,17.5,0.0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches,Koln,,
1141,Konstantin Rausch,ru RUS,DF,27.0,16.9,0,20.0,1.0,5.0,1.19,0.06,0.0,0.0,24.7,2.0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,Koln,,
1142,Simon Zoller,de GER,"MF,FW",26.0,14.7,5,22.0,11.0,50.0,1.49,0.75,0.23,0.45,12.1,0.0,0,0,2.7,2.7,0.22,-0.7,-0.7,Matches,Koln,,
1143,Sehrou Guirassy,fr FRA,FW,21.0,14.4,7,40.0,15.0,37.5,2.77,1.04,0.1,0.27,13.0,0.0,3,3,6.7,5.3,0.18,-2.7,-3.3,Matches,Koln,,
1144,Marcel Risse,de GER,"DF,MF",27.0,14.3,1,24.0,7.0,29.2,1.68,0.49,0.04,0.14,26.6,1.0,0,0,1.0,1.0,0.05,0.0,0.0,Matches,Koln,,
1145,Jhon Córdoba,co COL,FW,24.0,14.0,2,43.0,11.0,25.6,3.08,0.79,0.02,0.09,13.0,0.0,1,1,4.3,4.3,0.12,-4.3,-4.3,Matches,Koln,,
1146,Dominic Maroh,si SVN,DF,30.0,13.6,1,5.0,2.0,40.0,0.37,0.15,0.2,0.5,17.0,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Koln,,
1147,Jannes Horn,de GER,DF,20.0,13.2,0,3.0,0.0,0.0,0.23,0.0,0.0,,22.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Koln,,
1148,Simon Terodde,de GER,FW,29.0,12.9,5,23.0,9.0,39.1,1.78,0.7,0.17,0.44,11.9,0.0,1,1,5.3,4.6,0.2,-0.3,-0.6,Matches,Koln,,
1149,Christian Clemens,de GER,"MF,FW",25.0,10.3,2,26.0,8.0,30.8,2.53,0.78,0.08,0.25,20.8,1.0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches,Koln,,
1150,Vincent Koziello,fr FRA,MF,21.0,8.8,1,3.0,2.0,66.7,0.34,0.23,0.33,0.5,19.0,0.0,0,0,0.2,0.2,0.06,0.8,0.8,Matches,Koln,,
1151,Paweł Olkowski,pl POL,DF,27.0,8.4,0,4.0,2.0,50.0,0.47,0.24,0.0,0.0,21.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Koln,,
1152,Claudio Pizarro,pe PER,"FW,MF",38.0,6.4,1,16.0,4.0,25.0,2.49,0.62,0.06,0.25,14.1,0.0,0,0,2.4,2.4,0.15,-1.4,-1.4,Matches,Koln,,
1153,Tim Handwerker,de GER,"DF,MF",19.0,5.2,0,10.0,5.0,50.0,1.91,0.95,0.0,0.0,26.4,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Koln,,
1154,Chris Führich,de GER,"MF,FW",19.0,1.8,0,2.0,0.0,0.0,1.09,0.0,0.0,,24.7,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Koln,,
1155,Yann Aurel Bisseck,de GER,"DF,FW",16.0,1.7,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Koln,,
1156,Birk Risa,no NOR,"FW,DF",19.0,0.9,0,1.0,1.0,100.0,1.11,1.11,0.0,0.0,12.8,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Koln,,
1157,Anas Ouahim,de GER,FW,19.0,0.4,0,1.0,0.0,0.0,2.37,0.0,0.0,,13.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Koln,,
1158,Artjoms Rudņevs,lv LVA,FW,29.0,0.3,0,3.0,0.0,0.0,10.0,0.0,0.0,,,,0,0,,,,,,Matches,Koln,,
1159,Kevin Goden,de GER,DF,18.0,0.2,0,1.0,1.0,100.0,4.5,4.5,0.0,0.0,,,0,0,,,,,,Matches,Koln,,
1160,Filip Kusić,rs SRB,DF,21.0,0.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Koln,,
1161,Nikolas Nartey,dk DEN,MF,17.0,0.1,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Koln,,
1162,Juanfran,es ESP,DF,28.0,34.2,0,26.0,7.0,26.9,0.77,0.21,0.0,0.0,23.5,0.0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches,la coruna,,
1163,Lucas Pérez,es ESP,FW,28.0,32.9,9,52.0,24.0,46.2,1.67,0.77,0.1,0.21,16.1,4.0,3,4,9.1,6.0,0.12,-1.1,-1.0,Matches,la coruna,,
1164,Guilherme,br BRA,MF,26.0,30.9,0,40.0,2.0,5.0,1.37,0.07,0.0,0.0,24.4,1.0,0,0,1.8,1.8,0.04,-1.8,-1.8,Matches,la coruna,,
1165,Luisinho,pt POR,DF,32.0,29.1,1,16.0,4.0,25.0,0.55,0.14,0.06,0.25,25.0,0.0,0,1,1.4,0.7,0.04,-0.4,0.3,Matches,la coruna,,
1166,Rubén,es ESP,GK,33.0,27.6,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,la coruna,,
