,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,club
42,Abdoulaye Bamba,ci CIV,DF,31-007,17.2,670.0,875.0,76.6,11398.0,5476.0,342.0,376.0,91.0,264.0,336.0,78.6,56.0,129.0,43.4,2,1.4,-1.4,12.0,40.0,14.0,8.0,54.0,Matches,angers
43,Mathias Pereira Lage,pt POR,"FW,MF",24-153,15.6,288.0,394.0,73.1,4495.0,1555.0,159.0,182.0,87.4,105.0,156.0,67.3,17.0,33.0,51.5,0,0.3,-0.3,7.0,21.0,9.0,3.0,39.0,Matches,angers
44,Sada Thioub,sn SEN,"FW,MF",25-335,14.2,443.0,532.0,83.3,7204.0,1916.0,249.0,284.0,87.7,147.0,161.0,91.3,42.0,58.0,72.4,1,2.0,-1.0,19.0,27.0,19.0,2.0,50.0,Matches,angers
45,Mateo Pavlović,ba BIH,DF,30-327,12.3,278.0,314.0,88.5,5645.0,1823.0,99.0,103.0,96.1,131.0,143.0,91.6,46.0,63.0,73.0,0,0.0,0.0,0.0,9.0,1.0,0.0,11.0,Matches,angers
46,Antonin Bobichon,fr FRA,"MF,FW",25-230,9.5,282.0,358.0,78.8,4814.0,1195.0,140.0,156.0,89.7,95.0,110.0,86.4,38.0,77.0,49.4,2,1.4,-0.4,13.0,24.0,7.0,0.0,33.0,Matches,angers
47,Jimmy Cabot,fr FRA,FW,27-014,9.0,239.0,325.0,73.5,4196.0,1231.0,118.0,144.0,81.9,93.0,124.0,75.0,25.0,44.0,56.8,1,1.1,-0.1,9.0,16.0,8.0,2.0,24.0,Matches,angers
48,Sofiane Boufal,ma MAR,"FW,MF",27-227,8.1,207.0,285.0,72.6,3407.0,796.0,105.0,128.0,82.0,81.0,99.0,81.8,17.0,39.0,43.6,0,0.4,-0.4,5.0,19.0,8.0,1.0,19.0,Matches,angers
49,Mohamed Ali Cho,fr FRA,"FW,MF",17-103,4.3,58.0,89.0,65.2,889.0,270.0,35.0,47.0,74.5,15.0,27.0,55.6,6.0,10.0,60.0,0,0.1,-0.1,2.0,3.0,3.0,2.0,5.0,Matches,angers
50,Ludovic Butelle,fr FRA,GK,38-029,4.0,,,,,,,,,,,,,,,0,,,,,,,,Matches,angers
51,Farid El Melali,dz ALG,"FW,MF",23-293,3.7,73.0,101.0,72.3,1252.0,479.0,41.0,50.0,82.0,20.0,31.0,64.5,9.0,12.0,75.0,0,0.0,0.0,1.0,4.0,3.0,0.0,8.0,Matches,angers
52,Baptiste Santamaria,fr FRA,MF,26-054,3.0,137.0,156.0,87.8,2482.0,622.0,63.0,72.0,87.5,50.0,55.0,90.9,21.0,24.0,87.5,0,0.1,-0.1,4.0,13.0,4.0,1.0,14.0,Matches,angers
