,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,club
16,Sehrou Guirassy,fr FRA,FW,22.0,12.3,4.0,4.0,0.0,3.0,1.0,0.0,8.0,0.0,8.0,165.0,41.0,24.8,14.0,77.0,74.0,10.0,0.0,0.0,10.0,2.0,6,9.0,0.0,Matches,amiens
17,Oualid El Hajjam,ma MAR,"DF,MF",27.0,10.0,14.0,12.0,9.0,4.0,1.0,3.0,13.0,23.1,10.0,84.0,15.0,17.9,42.0,28.0,14.0,15.0,3.0,0.0,12.0,15.0,24,24.0,1.0,Matches,amiens
18,Ganso,br BRA,"MF,FW",28.0,6.8,12.0,9.0,2.0,8.0,2.0,7.0,25.0,28.0,18.0,118.0,29.0,24.6,19.0,72.0,27.0,11.0,2.0,0.0,9.0,4.0,16,0.0,0.0,Matches,amiens
19,Rafał Kurzawa,pl POL,"FW,MF",25.0,5.4,5.0,3.0,2.0,2.0,1.0,2.0,7.0,28.6,5.0,59.0,19.0,32.2,15.0,33.0,11.0,1.0,0.0,0.0,1.0,6.0,9,1.0,0.0,Matches,amiens
20,Matthieu Dreyer,fr FRA,GK,29.0,4.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0,,,Matches,amiens
21,Sanasi Sy,fr FRA,MF,19.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,Matches,amiens
22,Bongani Zungu,za RSA,MF,25.0,2.6,4.0,4.0,0.0,2.0,2.0,3.0,10.0,30.0,7.0,66.0,14.0,21.2,28.0,35.0,3.0,1.0,0.0,0.0,1.0,2.0,6,7.0,0.0,Matches,amiens
23,Quentin Cornette,fr FRA,"MF,FW",24.0,2.3,5.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,47.0,10.0,21.3,13.0,22.0,12.0,5.0,0.0,0.0,5.0,1.0,6,2.0,0.0,Matches,amiens
24,Gaoussou Traoré,fr FRA,MF,18.0,2.2,6.0,4.0,3.0,3.0,0.0,1.0,3.0,33.3,2.0,29.0,5.0,17.2,9.0,17.0,3.0,1.0,0.0,0.0,1.0,1.0,6,0.0,0.0,Matches,amiens
25,Guessouma Fofana,fr FRA,MF,25.0,2.1,6.0,4.0,2.0,4.0,0.0,1.0,3.0,33.3,2.0,73.0,16.0,21.9,23.0,44.0,6.0,2.0,1.0,0.0,1.0,4.0,10,2.0,0.0,Matches,amiens
26,Stanley Segarel,fr FRA,"FW,MF",24.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,Matches,amiens
27,Seybou Koita,ne NIG,FW,24.0,0.3,,,,,,,,,,,,,,,,,,,,,0,,,Matches,amiens
28,Baptiste Santamaria,fr FRA,MF,23.0,38.4,113.0,89.0,38.0,67.0,8.0,44.0,140.0,31.4,96.0,920.0,245.0,26.6,375.0,503.0,42.0,59.0,7.0,0.0,52.0,58.0,171,63.0,0.0,Matches,angers
29,Ludovic Butelle,fr FRA,GK,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,33.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,Matches,angers
30,Flavien Tait,fr FRA,"MF,FW",25.0,33.9,46.0,29.0,27.0,13.0,6.0,18.0,73.0,24.7,55.0,753.0,170.0,22.6,199.0,423.0,131.0,47.0,2.0,0.0,45.0,19.0,65,18.0,0.0,Matches,angers
31,Vincent Manceau,fr FRA,DF,29.0,33.3,82.0,49.0,56.0,14.0,12.0,31.0,91.0,34.1,60.0,606.0,180.0,29.7,382.0,167.0,57.0,74.0,11.0,2.0,63.0,38.0,120,77.0,0.0,Matches,angers
32,Ismaël Traoré,ci CIV,DF,31.0,29.7,34.0,25.0,24.0,10.0,0.0,8.0,32.0,25.0,24.0,253.0,82.0,32.4,181.0,61.0,11.0,40.0,21.0,0.0,19.0,43.0,77,125.0,2.0,Matches,angers
33,Mateo Pavlović,ba BIH,DF,28.0,29.6,30.0,20.0,28.0,2.0,0.0,8.0,20.0,40.0,12.0,173.0,58.0,33.5,137.0,34.0,2.0,44.0,28.0,0.0,16.0,11.0,41,184.0,2.0,Matches,angers
34,Jeff Reine-Adélaïde,fr FRA,"FW,MF",20.0,29.3,42.0,24.0,24.0,12.0,6.0,11.0,44.0,25.0,33.0,579.0,122.0,21.1,145.0,313.0,121.0,30.0,0.0,0.0,30.0,23.0,65,5.0,0.0,Matches,angers
35,Abdoulaye Bamba,ci CIV,DF,28.0,28.6,47.0,30.0,30.0,11.0,6.0,22.0,54.0,40.7,32.0,430.0,133.0,30.9,278.0,114.0,38.0,47.0,4.0,0.0,43.0,31.0,78,79.0,0.0,Matches,angers
36,Stéphane Bahoken,cm CMR,FW,26.0,28.4,16.0,12.0,1.0,7.0,8.0,1.0,22.0,4.5,21.0,543.0,114.0,21.0,23.0,280.0,240.0,41.0,3.0,0.0,38.0,5.0,21,4.0,0.0,Matches,angers
37,Cheikh N'Doye,sn SEN,MF,32.0,28.3,33.0,25.0,17.0,15.0,1.0,9.0,57.0,15.8,48.0,752.0,155.0,20.6,175.0,506.0,71.0,50.0,10.0,0.0,40.0,23.0,55,60.0,0.0,Matches,angers
38,Romain Thomas,fr FRA,DF,30.0,27.6,43.0,30.0,32.0,11.0,0.0,16.0,32.0,50.0,16.0,255.0,89.0,34.9,182.0,71.0,2.0,46.0,22.0,0.0,24.0,19.0,62,149.0,0.0,Matches,angers
39,Pierrick Capelle,fr FRA,"MF,DF",31.0,21.9,48.0,28.0,23.0,20.0,5.0,19.0,78.0,24.4,59.0,531.0,132.0,24.9,229.0,234.0,68.0,30.0,1.0,0.0,29.0,31.0,78,44.0,1.0,Matches,angers
40,Angelo Fulgini,fr FRA,"MF,FW",21.0,20.5,32.0,21.0,16.0,12.0,4.0,7.0,36.0,19.4,29.0,440.0,98.0,22.3,142.0,214.0,84.0,35.0,4.0,0.0,31.0,29.0,61,9.0,0.0,Matches,angers
41,Thomas Mangani,fr FRA,MF,31.0,19.3,43.0,30.0,17.0,22.0,4.0,12.0,61.0,19.7,49.0,530.0,138.0,26.0,138.0,335.0,57.0,23.0,3.0,0.0,20.0,13.0,56,18.0,0.0,Matches,angers
42,Vincent Pajot,fr FRA,MF,27.0,7.9,20.0,14.0,6.0,10.0,4.0,5.0,11.0,45.5,6.0,234.0,52.0,22.2,45.0,162.0,27.0,7.0,1.0,0.0,6.0,10.0,30,11.0,0.0,Matches,angers
43,Wilfried Kanga,fr FRA,FW,20.0,6.4,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,104.0,14.0,13.5,4.0,72.0,28.0,4.0,0.0,0.0,4.0,1.0,2,1.0,0.0,Matches,angers
44,Théo Pellenard,fr FRA,DF,24.0,5.5,12.0,8.0,6.0,3.0,3.0,6.0,15.0,40.0,9.0,90.0,23.0,25.6,42.0,39.0,9.0,8.0,2.0,0.0,6.0,6.0,18,21.0,0.0,Matches,angers
45,Cristian López,es ESP,FW,29.0,4.9,11.0,10.0,2.0,3.0,6.0,6.0,18.0,33.3,12.0,108.0,28.0,25.9,7.0,49.0,52.0,3.0,0.0,0.0,3.0,2.0,13,2.0,0.0,Matches,angers
46,Farid El Melali,dz ALG,"FW,MF",21.0,3.6,8.0,5.0,4.0,4.0,0.0,6.0,14.0,42.9,8.0,110.0,18.0,16.4,31.0,55.0,24.0,3.0,0.0,0.0,3.0,5.0,13,1.0,0.0,Matches,angers
47,Zacharie Boucher,fr FRA,GK,26.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,Matches,angers
48,Yoann Andreu,fr FRA,DF,29.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,16.7,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,Matches,angers
49,Kevin Mouanga,fr FRA,MF,18.0,1.3,,,,,,,,,,,,,,,,,,,,,0,,,Matches,angers
50,Harrison Manzala,cd COD,"MF,FW",24.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,25.0,6.0,24.0,8.0,7.0,10.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0.0,Matches,angers
51,Rayan Aït Nouri,fr FRA,DF,17.0,0.6,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,9.0,4.0,44.4,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,Matches,angers
52,Dorian Bertrand,fr FRA,MF,25.0,0.6,,,,,,,,,,,,,,,,,,,,,0,,,Matches,angers
53,Elhadji Pape Diaw,sn SEN,DF,23.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,2.0,50.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,Matches,angers
54,Pierre-Emerick Aubameyang,ga GAB,FW,29.0,42.8,28.0,16.0,6.0,10.0,12.0,5.0,43.0,11.6,38.0,784.0,198.0,25.3,103.0,354.0,327.0,49.0,2.0,0.0,47.0,8.0,35,20.0,0.0,Matches,Arsenal
55,Granit Xhaka,ch SUI,"MF,DF",25.0,38.2,78.0,49.0,39.0,31.0,8.0,35.0,87.0,40.2,52.0,581.0,182.0,31.3,203.0,303.0,75.0,46.0,12.0,0.0,34.0,30.0,107,71.0,1.0,Matches,Arsenal
56,Sokratis Papastathopoulos,gr GRE,DF,30.0,37.5,70.0,43.0,57.0,13.0,0.0,16.0,41.0,39.0,25.0,342.0,118.0,34.5,229.0,102.0,11.0,58.0,28.0,0.0,30.0,20.0,86,181.0,0.0,Matches,Arsenal
57,Shkodran Mustafi,de GER,DF,26.0,37.0,72.0,44.0,46.0,24.0,2.0,26.0,40.0,65.0,14.0,267.0,95.0,35.6,156.0,91.0,20.0,53.0,20.0,0.0,33.0,40.0,111,218.0,1.0,Matches,Arsenal
58,Alexandre Lacazette,fr FRA,FW,27.0,37.0,44.0,37.0,9.0,17.0,18.0,6.0,26.0,23.1,20.0,685.0,168.0,24.5,66.0,317.0,302.0,37.0,4.0,0.0,33.0,13.0,56,26.0,0.0,Matches,Arsenal
59,Lucas Torreira,uy URU,MF,22.0,35.9,70.0,61.0,28.0,34.0,8.0,28.0,77.0,36.4,49.0,727.0,172.0,23.7,262.0,389.0,76.0,53.0,7.0,0.0,46.0,48.0,114,51.0,0.0,Matches,Arsenal
60,Bernd Leno,de GER,GK,26.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,1.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,Matches,Arsenal
61,Mattéo Guendouzi,fr FRA,MF,19.0,33.9,45.0,34.0,17.0,25.0,3.0,19.0,73.0,26.0,54.0,605.0,174.0,28.8,186.0,331.0,88.0,49.0,6.0,0.0,43.0,37.0,80,36.0,1.0,Matches,Arsenal
62,Nacho Monreal,es ESP,DF,32.0,32.2,54.0,40.0,26.0,22.0,6.0,18.0,49.0,36.7,31.0,410.0,104.0,25.4,195.0,158.0,57.0,51.0,12.0,1.0,39.0,28.0,82,123.0,2.0,Matches,Arsenal
63,Alex Iwobi,ng NGA,"FW,MF",22.0,31.6,33.0,25.0,16.0,13.0,4.0,10.0,39.0,25.6,29.0,532.0,131.0,24.6,147.0,251.0,134.0,32.0,3.0,0.0,29.0,16.0,47,4.0,0.0,Matches,Arsenal
64,Sead Kolašinac,ba BIH,DF,25.0,30.9,45.0,31.0,24.0,19.0,2.0,21.0,48.0,43.8,27.0,396.0,118.0,29.8,170.0,156.0,70.0,31.0,4.0,0.0,27.0,25.0,68,60.0,2.0,Matches,Arsenal
65,Henrikh Mkhitaryan,am ARM,"FW,MF",29.0,28.1,43.0,29.0,11.0,22.0,10.0,12.0,47.0,25.5,35.0,580.0,124.0,21.4,129.0,318.0,133.0,49.0,1.0,0.0,48.0,23.0,65,17.0,0.0,Matches,Arsenal
66,Mesut Özil,de GER,"MF,FW",29.0,26.8,15.0,10.0,6.0,4.0,5.0,5.0,26.0,19.2,21.0,454.0,114.0,25.1,83.0,233.0,138.0,14.0,2.0,0.0,12.0,8.0,23,3.0,0.0,Matches,Arsenal
67,Laurent Koscielny,fr FRA,DF,32.0,25.3,28.0,15.0,18.0,9.0,1.0,10.0,21.0,47.6,11.0,181.0,52.0,28.7,119.0,52.0,10.0,36.0,19.0,0.0,17.0,33.0,56,140.0,1.0,Matches,Arsenal
68,Aaron Ramsey,wal WAL,"MF,FW",27.0,24.2,43.0,29.0,14.0,18.0,11.0,12.0,38.0,31.6,26.0,506.0,127.0,25.1,104.0,268.0,134.0,17.0,1.0,0.0,16.0,17.0,59,2.0,0.0,Matches,Arsenal
69,Ainsley Maitland-Niles,eng ENG,DF,20.0,23.6,58.0,42.0,33.0,21.0,4.0,24.0,56.0,42.9,32.0,406.0,120.0,29.6,166.0,166.0,74.0,45.0,5.0,1.0,40.0,30.0,82,32.0,1.0,Matches,Arsenal
70,Petr Čech,cz CZE,GK,36.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,Matches,Arsenal
71,Stephan Lichtsteiner,ch SUI,DF,34.0,19.2,16.0,9.0,8.0,5.0,3.0,9.0,27.0,33.3,18.0,175.0,42.0,24.0,80.0,69.0,26.0,27.0,9.0,1.0,18.0,4.0,19,35.0,1.0,Matches,Arsenal
72,Héctor Bellerín,es ESP,DF,23.0,17.0,13.0,9.0,8.0,4.0,1.0,7.0,18.0,38.9,11.0,195.0,50.0,25.6,92.0,76.0,27.0,31.0,4.0,0.0,27.0,11.0,24,29.0,0.0,Matches,Arsenal
73,Rob Holding,eng ENG,DF,22.0,14.6,20.0,13.0,15.0,5.0,0.0,5.0,11.0,45.5,6.0,62.0,19.0,30.6,38.0,21.0,3.0,26.0,14.0,0.0,12.0,8.0,28,44.0,0.0,Matches,Arsenal
74,Mohamed Elneny,eg EGY,MF,26.0,11.3,14.0,10.0,9.0,3.0,2.0,3.0,8.0,37.5,5.0,185.0,46.0,24.9,70.0,87.0,28.0,15.0,5.0,0.0,10.0,4.0,17,11.0,1.0,Matches,Arsenal
75,Danny Welbeck,eng ENG,"FW,MF",27.0,6.7,5.0,3.0,0.0,5.0,0.0,2.0,7.0,28.6,5.0,91.0,18.0,19.8,12.0,43.0,36.0,11.0,1.0,0.0,10.0,1.0,6,3.0,0.0,Matches,Arsenal
76,Carl Jenkinson,eng ENG,DF,26.0,6.5,9.0,9.0,5.0,2.0,2.0,3.0,3.0,100.0,0.0,36.0,14.0,38.9,11.0,18.0,7.0,6.0,4.0,0.0,2.0,5.0,13,9.0,0.0,Matches,Arsenal
77,Emile Smith-Rowe,eng ENG,MF,18.0,4.4,2.0,2.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,57.0,13.0,22.8,8.0,26.0,23.0,4.0,0.0,0.0,4.0,3.0,5,4.0,0.0,Matches,Arsenal
78,Joe Willock,eng ENG,MF,18.0,3.9,8.0,8.0,2.0,3.0,3.0,2.0,6.0,33.3,4.0,70.0,14.0,20.0,15.0,33.0,22.0,4.0,0.0,0.0,4.0,8.0,15,2.0,0.0,Matches,Arsenal
79,Eddie Nketiah,eng ENG,"MF,FW",19.0,3.7,6.0,5.0,0.0,4.0,2.0,1.0,2.0,50.0,1.0,58.0,15.0,25.9,5.0,25.0,28.0,1.0,0.0,0.0,1.0,1.0,7,2.0,0.0,Matches,Arsenal
80,Konstantinos Mavropanos,gr GRE,DF,20.0,1.6,4.0,2.0,2.0,2.0,0.0,1.0,1.0,100.0,0.0,11.0,2.0,18.2,5.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0,7,7.0,0.0,Matches,Arsenal
81,Bukayo Saka,eng ENG,FW,16.0,1.4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,38.0,11.0,28.9,11.0,13.0,14.0,3.0,0.0,0.0,3.0,1.0,2,1.0,0.0,Matches,Arsenal
82,Denis Suárez,es ESP,FW,24.0,1.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,44.0,11.0,25.0,10.0,20.0,14.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,Matches,Arsenal
83,Julio Pleguezuelo,es ESP,DF,21.0,1.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0,,,Matches,Arsenal
84,Emiliano Martínez,ar ARG,GK,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,Matches,Arsenal
85,Zechariah Medley,eng ENG,DF,18.0,0.7,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,75.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2,2.0,0.0,Matches,Arsenal
86,Charlie Gilmour,sco SCO,MF,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,2.0,22.2,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,Matches,Arsenal
87,Remo Freuler,ch SUI,MF,26.0,37.2,100.0,70.0,43.0,40.0,17.0,42.0,110.0,38.2,68.0,809.0,250.0,30.9,228.0,438.0,143.0,81.0,10.0,0.0,71.0,28.0,128,49.0,0.0,Matches,Atalanta
88,Papu Gómez,ar ARG,"MF,FW",30.0,37.2,20.0,16.0,7.0,9.0,4.0,8.0,39.0,20.5,31.0,420.0,104.0,24.8,68.0,203.0,149.0,22.0,0.0,0.0,22.0,28.0,48,7.0,0.0,Matches,Atalanta
89,Duván Zapata,co COL,FW,27.0,37.0,13.0,10.0,4.0,5.0,4.0,2.0,11.0,18.2,9.0,425.0,127.0,29.9,29.0,141.0,255.0,29.0,7.0,0.0,22.0,9.0,22,22.0,1.0,Matches,Atalanta
90,Hans Hateboer,nl NED,"DF,MF",24.0,37.0,55.0,32.0,29.0,21.0,5.0,23.0,49.0,46.9,26.0,433.0,125.0,28.9,137.0,181.0,115.0,42.0,7.0,0.0,35.0,21.0,76,49.0,3.0,Matches,Atalanta
91,Marten de Roon,nl NED,MF,27.0,37.0,94.0,68.0,37.0,48.0,9.0,30.0,107.0,28.0,77.0,776.0,221.0,28.5,199.0,453.0,124.0,58.0,10.0,0.0,48.0,36.0,130,70.0,0.0,Matches,Atalanta
92,José Luis Palomino,ar ARG,DF,28.0,30.1,59.0,39.0,40.0,17.0,2.0,22.0,46.0,47.8,24.0,324.0,129.0,39.8,160.0,153.0,11.0,47.0,17.0,0.0,30.0,38.0,97,108.0,0.0,Matches,Atalanta
93,Josip Iličić,si SVN,"FW,MF",30.0,28.1,17.0,11.0,3.0,7.0,7.0,4.0,27.0,14.8,23.0,282.0,67.0,23.8,40.0,120.0,122.0,22.0,1.0,0.0,21.0,6.0,23,1.0,0.0,Matches,Atalanta
94,Timothy Castagne,be BEL,"DF,MF",22.0,27.2,56.0,34.0,28.0,21.0,7.0,32.0,69.0,46.4,37.0,427.0,134.0,31.4,150.0,166.0,111.0,49.0,8.0,0.0,41.0,36.0,92,47.0,0.0,Matches,Atalanta
95,Gianluca Mancini,it ITA,DF,22.0,26.0,53.0,40.0,27.0,20.0,6.0,18.0,36.0,50.0,18.0,356.0,121.0,34.0,172.0,154.0,30.0,34.0,6.0,0.0,28.0,46.0,99,91.0,1.0,Matches,Atalanta
96,Berat Djimsiti,al ALB,DF,25.0,24.1,42.0,22.0,23.0,18.0,1.0,15.0,28.0,53.6,13.0,253.0,88.0,34.8,141.0,104.0,8.0,30.0,10.0,0.0,20.0,26.0,68,99.0,2.0,Matches,Atalanta
97,Pierluigi Gollini,it ITA,GK,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,75.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,Matches,Atalanta
98,Robin Gosens,de GER,"DF,MF",24.0,22.6,67.0,39.0,38.0,23.0,6.0,30.0,58.0,51.7,28.0,298.0,106.0,35.6,117.0,129.0,52.0,59.0,3.0,0.0,56.0,38.0,105,40.0,0.0,Matches,Atalanta
99,Andrea Masiello,it ITA,DF,32.0,22.4,30.0,17.0,17.0,13.0,0.0,19.0,36.0,52.8,17.0,187.0,56.0,29.9,93.0,81.0,13.0,33.0,8.0,1.0,25.0,37.0,67,71.0,0.0,Matches,Atalanta
100,Rafael Tolói,it ITA,DF,27.0,22.4,34.0,26.0,17.0,14.0,3.0,19.0,31.0,61.3,12.0,143.0,42.0,29.4,70.0,55.0,18.0,24.0,9.0,1.0,15.0,31.0,65,60.0,0.0,Matches,Atalanta
101,Mario Pašalić,hr CRO,"MF,FW",23.0,20.1,38.0,27.0,9.0,18.0,11.0,12.0,37.0,32.4,25.0,389.0,98.0,25.2,75.0,225.0,89.0,28.0,5.0,0.0,23.0,11.0,49,21.0,2.0,Matches,Atalanta
102,Etrit Berisha,al ALB,GK,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,Matches,Atalanta
103,Musa Barrow,gm GAM,"FW,MF",19.0,6.8,10.0,6.0,7.0,2.0,1.0,2.0,6.0,33.3,4.0,135.0,38.0,28.1,12.0,54.0,69.0,5.0,2.0,0.0,3.0,2.0,12,1.0,0.0,Matches,Atalanta
104,Emiliano Rigoni,ar ARG,"FW,MF",25.0,5.8,4.0,3.0,1.0,2.0,1.0,1.0,7.0,14.3,6.0,108.0,29.0,26.9,15.0,51.0,42.0,5.0,0.0,0.0,5.0,6.0,10,1.0,0.0,Matches,Atalanta
105,Matteo Pessina,it ITA,MF,21.0,3.6,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,56.0,11.0,19.6,17.0,33.0,6.0,2.0,0.0,0.0,2.0,1.0,4,7.0,0.0,Matches,Atalanta
106,Ali Adnan Kadhim,iq IRQ,"MF,DF",24.0,1.8,3.0,2.0,3.0,0.0,0.0,1.0,5.0,20.0,4.0,21.0,6.0,28.6,10.0,9.0,2.0,2.0,1.0,0.0,1.0,3.0,6,4.0,0.0,Matches,Atalanta
107,Dejan Kulusevski,se SWE,"DF,MF",18.0,1.2,3.0,2.0,0.0,2.0,1.0,2.0,3.0,66.7,1.0,28.0,9.0,32.1,1.0,16.0,11.0,1.0,0.0,0.0,1.0,0.0,3,0.0,0.0,Matches,Atalanta
108,Luca Valzania,it ITA,"MF,FW",22.0,0.8,4.0,3.0,2.0,1.0,1.0,3.0,5.0,60.0,2.0,13.0,6.0,46.2,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,5,0.0,0.0,Matches,Atalanta
