,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,club
39,Lassana Coulibaly,ml MLI,MF,25-022,19.8,676.0,663.0,13.0,10.0,1.0,100.0,18.0,5.0,0.0,0.0,0.0,0.0,525.0,62.0,89.0,30.0,607.0,19.0,3.0,4.0,575.0,0.0,13.0,14.0,24.0,Matches,angers
40,Stéphane Bahoken,cm CMR,FW,28-339,18.4,322.0,295.0,27.0,0.0,3.0,80.0,1.0,18.0,0.0,0.0,0.0,0.0,227.0,64.0,31.0,21.0,264.0,14.0,1.0,11.0,228.0,0.0,2.0,19.0,19.0,Matches,angers
41,Lois Diony,fr FRA,FW,28-133,17.7,359.0,326.0,33.0,0.0,1.0,103.0,8.0,29.0,0.0,0.0,0.0,0.0,221.0,70.0,68.0,57.0,237.0,20.0,0.0,12.0,218.0,0.0,13.0,20.0,29.0,Matches,angers
42,Abdoulaye Bamba,ci CIV,DF,31-007,17.2,875.0,684.0,191.0,13.0,1.0,98.0,6.0,46.0,0.0,0.0,0.0,0.0,516.0,149.0,210.0,26.0,635.0,26.0,178.0,2.0,670.0,1.0,14.0,21.0,33.0,Matches,angers
43,Mathias Pereira Lage,pt POR,"FW,MF",24-153,15.6,394.0,377.0,17.0,2.0,0.0,83.0,7.0,26.0,1.0,0.0,0.0,0.0,258.0,65.0,71.0,62.0,278.0,21.0,14.0,4.0,288.0,0.0,14.0,9.0,15.0,Matches,angers
44,Sada Thioub,sn SEN,"FW,MF",25-335,14.2,532.0,517.0,15.0,2.0,2.0,114.0,10.0,15.0,2.0,0.0,1.0,0.0,423.0,61.0,48.0,61.0,444.0,10.0,8.0,2.0,443.0,0.0,10.0,7.0,20.0,Matches,angers
45,Mateo Pavlović,ba BIH,DF,30-327,12.3,314.0,302.0,12.0,12.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,237.0,32.0,45.0,40.0,249.0,19.0,0.0,0.0,278.0,0.0,3.0,3.0,5.0,Matches,angers
46,Antonin Bobichon,fr FRA,"MF,FW",25-230,9.5,358.0,319.0,39.0,17.0,2.0,60.0,17.0,23.0,16.0,5.0,10.0,0.0,249.0,36.0,73.0,31.0,309.0,9.0,5.0,1.0,282.0,0.0,6.0,3.0,7.0,Matches,angers
47,Jimmy Cabot,fr FRA,FW,27-014,9.0,325.0,313.0,12.0,1.0,2.0,39.0,10.0,15.0,8.0,5.0,1.0,0.0,226.0,52.0,47.0,54.0,261.0,6.0,3.0,0.0,239.0,0.0,5.0,11.0,12.0,Matches,angers
48,Sofiane Boufal,ma MAR,"FW,MF",27-227,8.1,285.0,276.0,9.0,2.0,2.0,45.0,9.0,13.0,6.0,1.0,4.0,0.0,213.0,32.0,40.0,59.0,212.0,10.0,1.0,0.0,207.0,0.0,3.0,11.0,14.0,Matches,angers
49,Mohamed Ali Cho,fr FRA,"FW,MF",17-103,4.3,89.0,88.0,1.0,0.0,0.0,20.0,1.0,7.0,0.0,0.0,0.0,0.0,64.0,15.0,10.0,62.0,15.0,3.0,0.0,5.0,58.0,1.0,1.0,6.0,4.0,Matches,angers
50,Ludovic Butelle,fr FRA,GK,38-029,4.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Matches,angers
51,Farid El Melali,dz ALG,"FW,MF",23-293,3.7,101.0,98.0,3.0,1.0,1.0,24.0,2.0,8.0,0.0,0.0,0.0,0.0,76.0,15.0,10.0,1.0,95.0,1.0,2.0,1.0,73.0,0.0,3.0,3.0,2.0,Matches,angers
52,Baptiste Santamaria,fr FRA,MF,26-054,3.0,156.0,150.0,6.0,6.0,1.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,129.0,11.0,16.0,6.0,145.0,3.0,0.0,1.0,137.0,0.0,1.0,5.0,2.0,Matches,angers
53,Enzo Ebosse,fr FRA,DF,22-052,2.9,153.0,140.0,13.0,2.0,0.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,120.0,11.0,22.0,133.0,7.0,1.0,11.0,0.0,127.0,1.0,2.0,2.0,3.0,Matches,angers
54,Rayan Aït Nouri,fr FRA,DF,19-330,2.1,149.0,129.0,20.0,0.0,0.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,116.0,15.0,18.0,117.0,8.0,2.0,20.0,0.0,136.0,0.0,0.0,1.0,1.0,Matches,angers
55,Wilfried Kanga,fr FRA,FW,23-070,1.5,17.0,13.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,4.0,11.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,Matches,angers
56,Zinédine Ould Khaled,fr FRA,MF,21-108,0.7,17.0,16.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,2.0,13.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,Matches,angers
