,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club
299,Samuel Umtiti,fr FRA,DF,27-170,8.8,0,2.0,1.0,50.0,0.23,0.11,0.0,0.0,8.5,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,barcelona
300,Philippe Coutinho,br BRA,MF,28-325,8.7,3,34.0,10.0,29.4,3.89,1.14,0.09,0.3,17.7,0.0,0,0,4.2,4.2,0.12,-1.2,-1.2,Matches,barcelona
301,Ansu Fati,es ESP,FW,18-184,6.6,5,23.0,13.0,56.5,3.5,1.98,0.22,0.38,14.6,0.0,0,0,2.7,2.7,0.12,2.3,2.3,Matches,barcelona
302,Riqui Puig,es ESP,MF,21-263,5.7,1,11.0,2.0,18.2,1.94,0.35,0.09,0.5,17.4,0.0,0,0,0.8,0.8,0.11,0.2,0.2,Matches,barcelona
303,Ilaix,es ESP,MF,18-104,5.4,1,11.0,2.0,18.2,2.05,0.37,0.09,0.5,11.4,0.0,0,0,0.9,0.9,0.11,0.1,0.1,Matches,barcelona
304,Carles Aleñá,es ESP,MF,23-118,1.9,0,4.0,0.0,0.0,2.09,0.0,0.0,,22.9,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,barcelona
305,Konrad De La Fuente,us USA,"FW,MF",19-291,0.4,0,1.0,1.0,100.0,2.31,2.31,0.0,0.0,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,barcelona
306,Matheus Fernandes,br BRA,MF,22-307,0.2,0,1.0,0.0,0.0,5.0,0.0,0.0,,19.8,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,barcelona
307,Manuel Neuer,de GER,GK,35-017,38.7,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bayern Munich
308,Thomas Müller,de GER,MF,31-212,34.9,14,56.0,20.0,35.7,1.6,0.57,0.2,0.55,13.4,0.0,3,3,7.6,6.1,0.13,4.4,3.9,Matches,Bayern Munich
309,David Alaba,at AUT,"DF,MF",28-293,33.9,2,23.0,5.0,21.7,0.68,0.15,0.09,0.4,23.6,4.0,0,0,1.0,1.0,0.05,1.0,1.0,Matches,Bayern Munich
310,Robert Lewandowski,pl POL,FW,32-235,31.8,40,133.0,55.0,41.4,4.19,1.73,0.24,0.58,14.1,8.0,8,9,29.6,22.8,0.18,10.4,9.2,Matches,Bayern Munich
311,Joshua Kimmich,de GER,MF,26-064,27.9,4,45.0,18.0,40.0,1.61,0.65,0.09,0.22,20.9,2.0,0,0,3.2,3.2,0.09,-0.2,-0.2,Matches,Bayern Munich
312,Jérôme Boateng,de GER,DF,32-222,27.1,2,8.0,3.0,37.5,0.3,0.11,0.25,0.67,16.1,0.0,0,0,0.4,0.4,0.05,1.6,1.6,Matches,Bayern Munich
313,Niklas Süle,de GER,DF,25-222,26.1,2,26.0,6.0,23.1,1.0,0.23,0.08,0.33,15.6,0.0,0,0,1.8,1.8,0.07,0.2,0.2,Matches,Bayern Munich
314,Benjamin Pavard,fr FRA,DF,25-016,24.5,0,18.0,7.0,38.9,0.73,0.29,0.0,0.0,20.4,0.0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches,Bayern Munich
315,Leon Goretzka,de GER,MF,26-066,23.9,8,46.0,17.0,37.0,1.92,0.71,0.17,0.47,16.4,0.0,0,0,4.4,4.4,0.1,2.6,2.6,Matches,Bayern Munich
316,Leroy Sané,de GER,"FW,MF",25-092,23.8,8,65.0,21.0,32.3,2.73,0.88,0.12,0.38,18.2,1.0,0,0,5.3,5.3,0.09,1.7,1.7,Matches,Bayern Munich
317,Lucas Hernández,fr FRA,DF,25-058,23.2,1,14.0,3.0,21.4,0.6,0.13,0.07,0.33,19.4,0.0,0,0,1.0,1.0,0.09,0.0,0.0,Matches,Bayern Munich
318,Serge Gnabry,de GER,"FW,MF",25-273,22.8,10,71.0,33.0,46.5,3.12,1.45,0.14,0.3,16.2,0.0,0,0,8.7,8.7,0.13,0.3,0.3,Matches,Bayern Munich
319,Kingsley Coman,fr FRA,MF,24-304,22.2,6,55.0,21.0,38.2,2.48,0.95,0.11,0.29,16.7,0.0,0,0,4.9,4.9,0.09,1.1,1.1,Matches,Bayern Munich
320,Alphonso Davies,ca CAN,DF,20-162,20.0,1,8.0,3.0,37.5,0.4,0.15,0.13,0.33,23.2,0.0,0,0,0.2,0.2,0.04,0.8,0.8,Matches,Bayern Munich
321,Corentin Tolisso,fr FRA,MF,26-253,13.7,3,22.0,12.0,54.5,1.61,0.88,0.14,0.25,15.3,0.0,0,0,2.6,2.6,0.15,-0.6,-0.6,Matches,Bayern Munich
322,Jamal Musiala,de GER,MF,18-046,10.9,5,23.0,11.0,47.8,2.11,1.01,0.22,0.45,15.1,0.0,0,0,2.1,2.1,0.11,2.9,2.9,Matches,Bayern Munich
323,Eric Maxim Choupo-Moting,cm CMR,FW,32-021,10.6,6,30.0,18.0,60.0,2.84,1.7,0.2,0.33,12.1,0.0,0,0,3.8,3.8,0.16,0.2,0.2,Matches,Bayern Munich
324,Javi Martínez,es ESP,MF,32-223,8.8,1,8.0,1.0,12.5,0.91,0.11,0.13,1.0,8.4,0.0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches,Bayern Munich
325,Bouna Sarr,gn GUI,DF,29-072,8.7,0,6.0,0.0,0.0,0.69,0.0,0.0,,27.5,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Bayern Munich
326,Douglas Costa,br BRA,"FW,MF",30-211,7.3,1,10.0,4.0,40.0,1.37,0.55,0.1,0.25,19.2,0.0,0,0,0.2,0.2,0.03,0.8,0.8,Matches,Bayern Munich
327,Marc Roca,es ESP,MF,24-138,4.7,0,7.0,2.0,28.6,1.49,0.43,0.0,0.0,19.2,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,Bayern Munich
328,Alexander Nübel,de GER,GK,24-195,3.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bayern Munich
