,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,club
248,Daniel Baier,de GER,MF,35.0,24,23,2031.0,22.6,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.04,0.0,0.04,0.04,0.04,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches,Augsburg
249,Ohis Felix Uduokhai,de GER,DF,21.0,26,21,1966.0,21.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,0.01,0.03,0.04,0.01,0.04,Matches,Augsburg
250,Jeffrey Gouweleeuw,nl NED,DF,28.0,21,18,1645.0,18.3,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.3,0.3,0.0,0.02,0.02,0.0,0.02,Matches,Augsburg
251,Stephan Lichtsteiner,ch SUI,DF,35.0,20,17,1343.0,14.9,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.6,0.6,0.0,0.04,0.04,0.0,0.04,Matches,Augsburg
252,Raphael Framberger,de GER,DF,23.0,18,12,1175.0,13.1,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,0.15,0.3,0.3,0.7,1.0,0.02,0.05,0.08,0.02,0.08,Matches,Augsburg
253,Carlos Gruezo,ec ECU,MF,24.0,12,11,976.0,10.8,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.2,0.4,0.02,0.02,0.04,0.02,0.04,Matches,Augsburg
254,Alfreð Finnbogason,is ISL,FW,30.0,21,10,966.0,10.7,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.28,0.09,0.37,0.19,0.28,4.3,3.5,2.0,5.5,0.4,0.18,0.58,0.33,0.51,Matches,Augsburg
255,Andreas Luthe,de GER,GK,32.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Augsburg
256,André Hahn,de GER,"FW,MF",28.0,16,9,792.0,8.8,2.0,0.0,1.0,1.0,2.0,6.0,1.0,0.23,0.0,0.23,0.11,0.11,2.4,1.6,0.8,2.4,0.31,0.1,0.41,0.21,0.31,Matches,Augsburg
257,Iago,br BRA,"DF,MF",22.0,10,7,674.0,7.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13,0.13,0.27,0.13,0.27,0.5,0.5,0.1,0.7,0.07,0.01,0.09,0.07,0.09,Matches,Augsburg
258,Eduard Löwen,de GER,"MF,FW",22.0,16,7,671.0,7.5,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.27,0.13,0.4,0.27,0.4,0.7,0.7,0.8,1.5,0.1,0.1,0.2,0.1,0.2,Matches,Augsburg
259,Marek Suchý,cz CZE,DF,31.0,8,5,487.0,5.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Matches,Augsburg
260,Fredrik Jensen,fi FIN,"FW,MF",21.0,11,5,481.0,5.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,0.3,0.3,0.1,0.4,0.07,0.01,0.08,0.07,0.08,Matches,Augsburg
261,Jan Morávek,cz CZE,MF,29.0,11,4,474.0,5.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19,0.19,0.0,0.19,0.1,0.1,0.4,0.4,0.01,0.07,0.08,0.01,0.08,Matches,Augsburg
262,Noah Joel Sarenren Bazee,ng NGA,FW,22.0,10,4,381.0,4.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,0.4,0.4,0.4,0.8,0.11,0.08,0.19,0.11,0.19,Matches,Augsburg
263,Reece Oxford,eng ENG,MF,20.0,12,2,375.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Matches,Augsburg
264,Michael Gregoritsch,at AUT,"MF,FW",25.0,7,5,369.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.4,0.05,0.08,0.13,0.05,0.13,Matches,Augsburg
265,Sergio Córdova,ve VEN,"FW,MF",21.0,16,4,367.0,4.1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.49,0.25,0.74,0.49,0.74,1.8,1.8,0.8,2.6,0.43,0.2,0.63,0.43,0.63,Matches,Augsburg
266,Georg Teigl,at AUT,"DF,MF",28.0,4,2,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.09,0.09,0.09,Matches,Augsburg
267,Mads Pedersen,dk DEN,DF,22.0,3,2,162.0,1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.56,0.0,0.0,0.5,0.5,0.0,0.47,0.47,0.0,0.47,Matches,Augsburg
268,Tim Rieder,de GER,"DF,MF",25.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,Augsburg
269,Julian Schieber,de GER,FW,30.0,3,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.11,0.0,0.11,0.11,0.11,Matches,Augsburg
270,Fabian Giefer,de GER,GK,29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Augsburg
271,Maurice Malone,de GER,"FW,MF",18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Augsburg
272,Benjamin Leneis,de GER,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Augsburg
273,Felix Götze,de GER,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Augsburg
274,Stefano Russo,de GER,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Augsburg
275,Jozo Stanić,hr CRO,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Augsburg
276,Manuel Neuer,de GER,GK,33.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bayern Munich
277,Joshua Kimmich,de GER,"MF,DF",24.0,33,32,2818.0,31.3,4.0,7.0,4.0,0.0,0.0,7.0,0.0,0.13,0.22,0.35,0.13,0.35,1.3,1.3,8.2,9.6,0.04,0.26,0.31,0.04,0.31,Matches,Bayern Munich
278,Benjamin Pavard,fr FRA,DF,23.0,32,31,2790.0,31.0,4.0,4.0,4.0,0.0,0.0,5.0,0.0,0.13,0.13,0.26,0.13,0.26,1.7,1.7,3.2,4.9,0.06,0.1,0.16,0.06,0.16,Matches,Bayern Munich
279,Robert Lewandowski,pl POL,FW,30.0,31,31,2759.0,30.7,34.0,4.0,29.0,5.0,5.0,5.0,0.0,1.11,0.13,1.24,0.95,1.08,27.5,23.7,5.7,29.4,0.9,0.19,1.08,0.77,0.96,Matches,Bayern Munich
280,David Alaba,at AUT,DF,27.0,28,27,2498.0,27.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,0.7,0.7,2.1,2.8,0.03,0.07,0.1,0.03,0.1,Matches,Bayern Munich
281,Thomas Müller,de GER,"MF,FW",29.0,33,26,2255.0,25.1,8.0,21.0,8.0,0.0,0.0,5.0,0.0,0.32,0.84,1.16,0.32,1.16,8.3,8.3,12.7,20.9,0.33,0.51,0.84,0.33,0.84,Matches,Bayern Munich
282,Serge Gnabry,de GER,"FW,MF",24.0,31,26,2193.0,24.4,12.0,10.0,12.0,0.0,0.0,0.0,0.0,0.49,0.41,0.9,0.49,0.9,12.7,12.7,9.8,22.5,0.52,0.4,0.92,0.52,0.92,Matches,Bayern Munich
283,Alphonso Davies,ca CAN,DF,18.0,29,24,2234.0,24.8,3.0,5.0,3.0,0.0,0.0,4.0,1.0,0.12,0.2,0.32,0.12,0.32,2.1,2.1,3.6,5.7,0.09,0.15,0.23,0.09,0.23,Matches,Bayern Munich
284,Jérôme Boateng,de GER,DF,30.0,24,23,1796.0,20.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.1,0.1,0.0,0.1,0.4,0.4,1.5,1.8,0.02,0.07,0.09,0.02,0.09,Matches,Bayern Munich
