,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,club
49,Souleyman Doumbia,ci CIV,DF,22.0,5.0,10.0,4,7.0,2.0,1.0,5.0,9.0,55.6,4.0,59.0,18.0,30.5,35.0,18.0,6.0,14.0,0.0,0.0,14.0,4,14,13.0,0.0,Matches,angers
50,Vincent Pajot,fr FRA,MF,28.0,2.3,1.0,2,1.0,0.0,0.0,0.0,0.0,,0.0,53.0,6.0,11.3,10.0,35.0,8.0,3.0,0.0,0.0,3.0,6,4,2.0,0.0,Matches,angers
51,Zinédine Ould Khaled,fr FRA,MF,19.0,1.7,1.0,1,0.0,1.0,0.0,1.0,3.0,33.3,2.0,24.0,5.0,20.8,8.0,15.0,1.0,3.0,0.0,0.0,3.0,3,4,2.0,0.0,Matches,angers
52,Ibrahim Cissé,sn SEN,DF,23.0,1.6,1.0,2,0.0,1.0,0.0,0.0,0.0,,0.0,11.0,3.0,27.3,4.0,5.0,2.0,2.0,0.0,0.0,2.0,0,1,0.0,0.0,Matches,angers
53,Wilfried Kanga,fr FRA,FW,21.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,2.0,10.5,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,angers
54,Jeff Reine-Adélaïde,fr FRA,MF,21.0,0.9,3.0,1,1.0,2.0,0.0,0.0,1.0,0.0,1.0,11.0,3.0,27.3,2.0,6.0,3.0,1.0,0.0,0.0,1.0,0,3,1.0,0.0,Matches,angers
55,Pierre-Emerick Aubameyang,ga GAB,FW,30.0,41.4,47.0,25,17.0,17.0,13.0,15.0,55.0,27.3,40.0,651.0,150.0,23.0,123.0,295.0,233.0,65.0,3.0,0.0,62.0,11,56,17.0,0.0,Matches,Arsenal
56,David Luiz,br BRA,DF,32.0,40.4,42.0,30,24.0,15.0,3.0,11.0,28.0,39.3,17.0,214.0,79.0,36.9,155.0,52.0,7.0,69.0,45.0,0.0,24.0,28,63,203.0,3.0,Matches,Arsenal
57,Granit Xhaka,ch SUI,"MF,DF",26.0,38.1,56.0,39,33.0,19.0,4.0,23.0,64.0,35.9,41.0,483.0,135.0,28.0,178.0,260.0,45.0,63.0,20.0,1.0,43.0,19,70,96.0,0.0,Matches,Arsenal
58,Bernd Leno,de GER,GK,27.0,31.8,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1.0,Matches,Arsenal
59,Bukayo Saka,eng ENG,"DF,FW",17.0,30.4,46.0,34,25.0,13.0,8.0,15.0,39.0,38.5,24.0,381.0,120.0,31.5,139.0,142.0,100.0,36.0,4.0,0.0,32.0,16,59,26.0,1.0,Matches,Arsenal
60,Nicolas Pépé,ci CIV,"FW,DF",24.0,30.2,35.0,28,16.0,14.0,5.0,12.0,26.0,46.2,14.0,401.0,105.0,26.2,104.0,177.0,120.0,23.0,2.0,0.0,21.0,12,46,3.0,0.0,Matches,Arsenal
61,Alexandre Lacazette,fr FRA,FW,28.0,28.6,28.0,23,7.0,14.0,7.0,4.0,19.0,21.1,15.0,561.0,138.0,24.6,64.0,261.0,236.0,18.0,1.0,0.0,17.0,12,38,17.0,0.0,Matches,Arsenal
62,Mattéo Guendouzi,fr FRA,MF,20.0,26.8,30.0,20,13.0,12.0,5.0,12.0,50.0,24.0,38.0,452.0,135.0,29.9,186.0,206.0,60.0,44.0,9.0,0.0,35.0,31,57,55.0,0.0,Matches,Arsenal
63,Dani Ceballos,es ESP,MF,22.0,26.3,54.0,38,26.0,20.0,8.0,20.0,72.0,27.8,52.0,513.0,138.0,26.9,211.0,232.0,70.0,32.0,4.0,0.0,28.0,31,79,25.0,1.0,Matches,Arsenal
64,Sokratis Papastathopoulos,gr GRE,DF,31.0,25.8,30.0,19,21.0,8.0,1.0,13.0,28.0,46.4,15.0,221.0,66.0,29.9,146.0,68.0,7.0,47.0,25.0,0.0,22.0,7,35,121.0,0.0,Matches,Arsenal
65,Shkodran Mustafi,de GER,DF,27.0,25.3,22.0,19,15.0,6.0,1.0,4.0,17.0,23.5,13.0,157.0,48.0,30.6,80.0,66.0,11.0,26.0,11.0,0.0,15.0,17,33,168.0,2.0,Matches,Arsenal
66,Ainsley Maitland-Niles,eng ENG,"DF,FW",21.0,23.0,48.0,41,36.0,9.0,3.0,19.0,52.0,36.5,33.0,377.0,113.0,30.0,210.0,123.0,44.0,35.0,5.0,0.0,30.0,26,67,47.0,2.0,Matches,Arsenal
67,Emiliano Martínez,ar ARG,GK,26.0,22.9,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,Matches,Arsenal
68,Lucas Torreira,uy URU,MF,23.0,22.8,45.0,30,20.0,21.0,4.0,13.0,38.0,34.2,25.0,478.0,125.0,26.2,178.0,245.0,55.0,34.0,11.0,0.0,23.0,32,74,35.0,1.0,Matches,Arsenal
69,Sead Kolašinac,ba BIH,DF,26.0,22.7,39.0,20,25.0,7.0,7.0,14.0,27.0,51.9,13.0,249.0,73.0,29.3,127.0,84.0,38.0,27.0,5.0,0.0,22.0,16,55,46.0,2.0,Matches,Arsenal
70,Joe Willock,eng ENG,MF,19.0,21.1,34.0,31,13.0,13.0,8.0,8.0,33.0,24.2,25.0,401.0,111.0,27.7,112.0,215.0,74.0,32.0,7.0,1.0,25.0,23,48,17.0,2.0,Matches,Arsenal
71,Héctor Bellerín,es ESP,DF,24.0,20.3,26.0,20,12.0,10.0,4.0,10.0,33.0,30.3,23.0,202.0,51.0,25.2,77.0,95.0,30.0,29.0,5.0,0.0,24.0,20,39,42.0,0.0,Matches,Arsenal
72,Mesut Özil,de GER,"MF,FW",30.0,20.0,15.0,12,10.0,5.0,0.0,2.0,19.0,10.5,17.0,326.0,67.0,20.6,71.0,187.0,68.0,10.0,0.0,0.0,10.0,3,18,3.0,0.0,Matches,Arsenal
73,Kieran Tierney,sco SCO,DF,22.0,19.2,33.0,21,18.0,9.0,6.0,13.0,21.0,61.9,8.0,183.0,54.0,29.5,89.0,73.0,21.0,30.0,4.0,0.0,26.0,15,46,60.0,0.0,Matches,Arsenal
74,Martinelli,br BRA,FW,18.0,16.7,34.0,26,16.0,14.0,4.0,7.0,29.0,24.1,22.0,415.0,108.0,26.0,113.0,181.0,121.0,27.0,1.0,0.0,26.0,4,37,9.0,0.0,Matches,Arsenal
75,Calum Chambers,eng ENG,DF,24.0,15.4,27.0,21,15.0,9.0,3.0,9.0,15.0,60.0,6.0,170.0,60.0,35.3,87.0,57.0,26.0,33.0,11.0,0.0,22.0,25,47,64.0,0.0,Matches,Arsenal
76,Rob Holding,eng ENG,DF,23.0,14.6,7.0,12,5.0,1.0,1.0,3.0,5.0,60.0,2.0,68.0,16.0,23.5,44.0,18.0,6.0,25.0,9.0,0.0,16.0,10,12,54.0,2.0,Matches,Arsenal
77,Reiss Nelson,eng ENG,FW,19.0,11.6,14.0,9,8.0,4.0,2.0,8.0,16.0,50.0,8.0,224.0,49.0,21.9,64.0,102.0,58.0,15.0,1.0,0.0,14.0,6,20,2.0,0.0,Matches,Arsenal
78,Eddie Nketiah,eng ENG,FW,20.0,9.4,10.0,9,4.0,5.0,1.0,2.0,7.0,28.6,5.0,163.0,39.0,23.9,11.0,78.0,74.0,5.0,0.0,0.0,5.0,5,15,4.0,0.0,Matches,Arsenal
79,Emile Smith-Rowe,eng ENG,"FW,MF",19.0,4.2,3.0,4,3.0,0.0,0.0,2.0,9.0,22.2,7.0,85.0,25.0,29.4,29.0,33.0,23.0,3.0,1.0,0.0,2.0,2,5,7.0,0.0,Matches,Arsenal
80,Nacho Monreal,es ESP,DF,33.0,3.0,4.0,4,3.0,1.0,0.0,1.0,3.0,33.3,2.0,34.0,10.0,29.4,19.0,13.0,2.0,3.0,1.0,0.0,2.0,4,8,17.0,0.0,Matches,Arsenal
81,Cédric Soares,pt POR,DF,27.0,2.8,6.0,5,2.0,4.0,0.0,2.0,5.0,40.0,3.0,55.0,15.0,27.3,23.0,26.0,6.0,10.0,0.0,0.0,10.0,3,9,2.0,0.0,Matches,Arsenal
82,Pablo Marí,es ESP,DF,25.0,2.3,3.0,1,2.0,1.0,0.0,1.0,2.0,50.0,1.0,11.0,3.0,27.3,6.0,4.0,1.0,1.0,0.0,0.0,1.0,2,5,14.0,0.0,Matches,Arsenal
83,Henrikh Mkhitaryan,am ARM,FW,30.0,1.2,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,32.0,8.0,25.0,4.0,16.0,12.0,2.0,0.0,0.0,2.0,1,1,1.0,0.0,Matches,Arsenal
84,Konstantinos Mavropanos,gr GRE,DF,21.0,1.0,2.0,0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,10.0,2.0,20.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,1,3,6.0,1.0,Matches,Arsenal
85,Jack Grealish,eng ENG,"FW,MF",23.0,39.5,36.0,30,13.0,14.0,9.0,8.0,31.0,25.8,23.0,574.0,154.0,26.8,163.0,230.0,181.0,55.0,12.0,0.0,43.0,15,51,13.0,1.0,Matches,Aston Villa
86,Tyrone Mings,eng ENG,DF,26.0,35.2,25.0,17,18.0,6.0,1.0,10.0,18.0,55.6,8.0,160.0,66.0,41.3,106.0,43.0,11.0,72.0,55.0,2.0,17.0,26,45,223.0,7.0,Matches,Aston Villa
87,Douglas Luiz,br BRA,MF,21.0,35.0,52.0,36,34.0,14.0,4.0,19.0,66.0,28.8,47.0,592.0,155.0,26.2,263.0,263.0,66.0,64.0,18.0,1.0,46.0,30,73,44.0,2.0,Matches,Aston Villa
88,Matt Targett,eng ENG,DF,23.0,28.9,57.0,36,38.0,16.0,3.0,20.0,56.0,35.7,36.0,372.0,109.0,29.3,184.0,145.0,43.0,68.0,9.0,0.0,59.0,26,78,88.0,1.0,Matches,Aston Villa
89,Ezri Konsa,eng ENG,DF,21.0,28.7,27.0,22,20.0,7.0,0.0,6.0,16.0,37.5,10.0,193.0,63.0,32.6,107.0,65.0,21.0,55.0,23.0,0.0,32.0,21,41,83.0,3.0,Matches,Aston Villa
90,Anwar El Ghazi,nl NED,"FW,MF",24.0,28.2,17.0,13,10.0,5.0,2.0,5.0,24.0,20.8,19.0,350.0,74.0,21.1,70.0,163.0,117.0,18.0,1.0,0.0,17.0,13,28,12.0,0.0,Matches,Aston Villa
91,John McGinn,sco SCO,MF,24.0,26.5,58.0,43,24.0,21.0,13.0,20.0,66.0,30.3,46.0,508.0,144.0,28.3,137.0,254.0,117.0,32.0,2.0,0.0,30.0,23,78,20.0,1.0,Matches,Aston Villa
92,Frederic Guilbert,fr FRA,DF,24.0,26.1,82.0,48,50.0,22.0,10.0,34.0,74.0,45.9,40.0,416.0,115.0,27.6,228.0,133.0,55.0,65.0,13.0,0.0,52.0,34,112,87.0,1.0,Matches,Aston Villa
93,Trézéguet,eg EGY,"FW,MF",24.0,25.8,42.0,30,20.0,14.0,8.0,7.0,42.0,16.7,35.0,530.0,129.0,24.3,164.0,230.0,136.0,41.0,2.0,0.0,39.0,19,59,17.0,0.0,Matches,Aston Villa
94,Marvelous Nakamba,zw ZIM,MF,25.0,25.2,65.0,52,32.0,29.0,4.0,15.0,68.0,22.1,53.0,491.0,168.0,34.2,213.0,239.0,39.0,61.0,11.0,0.0,50.0,39,93,34.0,1.0,Matches,Aston Villa
95,Conor Hourihane,ie IRL,MF,28.0,22.5,21.0,14,5.0,12.0,4.0,8.0,24.0,33.3,16.0,224.0,38.0,17.0,68.0,103.0,53.0,27.0,6.0,0.0,21.0,6,24,24.0,0.0,Matches,Aston Villa
96,Kortney Hause,eng ENG,DF,24.0,22.3,27.0,25,23.0,2.0,2.0,11.0,23.0,47.8,12.0,182.0,73.0,40.1,112.0,59.0,11.0,46.0,22.0,1.0,24.0,16,38,114.0,5.0,Matches,Aston Villa
97,Wesley Moraes,br BRA,FW,22.0,20.0,14.0,10,2.0,6.0,6.0,0.0,5.0,0.0,5.0,313.0,78.0,24.9,17.0,147.0,149.0,18.0,6.0,0.0,12.0,5,19,26.0,0.0,Matches,Aston Villa
98,Tom Heaton,eng ENG,GK,33.0,19.9,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,Matches,Aston Villa
99,Björn Engels,be BEL,DF,24.0,18.1,9.0,5,7.0,2.0,0.0,5.0,11.0,45.5,6.0,81.0,29.0,35.8,54.0,26.0,1.0,26.0,19.0,0.0,7.0,16,21,111.0,2.0,Matches,Aston Villa
100,Ahmed Elmohamady,eg EGY,DF,31.0,17.3,25.0,22,17.0,6.0,2.0,10.0,22.0,45.5,12.0,109.0,28.0,25.7,56.0,40.0,13.0,11.0,5.0,0.0,6.0,13,31,29.0,0.0,Matches,Aston Villa
101,Neil Taylor,wal WAL,DF,30.0,16.1,20.0,11,15.0,5.0,0.0,10.0,22.0,45.5,12.0,121.0,33.0,27.3,61.0,53.0,7.0,38.0,5.0,0.0,33.0,13,31,32.0,0.0,Matches,Aston Villa
102,Mbwana Samatta,tz TAN,FW,26.0,12.1,9.0,7,1.0,6.0,2.0,1.0,9.0,11.1,8.0,173.0,45.0,26.0,7.0,84.0,82.0,8.0,1.0,0.0,7.0,0,9,6.0,0.0,Matches,Aston Villa
103,Pepe Reina,es ESP,GK,36.0,12.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,Matches,Aston Villa
104,Ørjan Nyland,no NOR,GK,28.0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Matches,Aston Villa
105,Keinan Davis,eng ENG,FW,21.0,8.9,2.0,3,0.0,2.0,0.0,0.0,3.0,0.0,3.0,88.0,19.0,21.6,3.0,50.0,35.0,5.0,1.0,0.0,4.0,0,2,3.0,0.0,Matches,Aston Villa
106,Jota,es ESP,"FW,MF",28.0,7.3,3.0,3,1.0,1.0,1.0,2.0,9.0,22.2,7.0,119.0,17.0,14.3,44.0,51.0,24.0,3.0,0.0,0.0,3.0,2,5,6.0,0.0,Matches,Aston Villa
107,Henri Lansbury,eng ENG,MF,28.0,6.1,5.0,4,3.0,1.0,1.0,0.0,4.0,0.0,4.0,61.0,18.0,29.5,24.0,18.0,19.0,6.0,0.0,0.0,6.0,5,5,1.0,0.0,Matches,Aston Villa
108,Jonathan Kodjia,ci CIV,"FW,MF",29.0,3.6,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,33.0,9.0,27.3,6.0,15.0,12.0,2.0,2.0,0.0,0.0,0,0,2.0,0.0,Matches,Aston Villa
109,Jed Steer,eng ENG,GK,26.0,3.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Aston Villa
110,Danny Drinkwater,eng ENG,MF,29.0,2.9,9.0,5,6.0,2.0,1.0,1.0,13.0,7.7,12.0,106.0,22.0,20.8,36.0,58.0,12.0,3.0,0.0,0.0,3.0,7,16,4.0,1.0,Matches,Aston Villa
111,James Chester,wal WAL,DF,30.0,1.8,,3,,,,,,,,,,,,,,,,,,2,0,,,Matches,Aston Villa
