,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
43,Mathias Pereira Lage,pt POR,"FW,MF",24-153,15.6,24.0,1.7,18.0,1.0,2.0,2.0,0.0,1.0,1.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
44,Sada Thioub,sn SEN,"FW,MF",25-335,14.2,45.0,3.71,31.0,0.0,8.0,2.0,4.0,0.0,3.0,0.25,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,angers
45,Mateo Pavlović,ba BIH,DF,30-327,12.3,2.0,0.24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
46,Antonin Bobichon,fr FRA,"MF,FW",25-230,9.5,33.0,4.45,22.0,2.0,2.0,2.0,4.0,1.0,3.0,0.4,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,angers
47,Jimmy Cabot,fr FRA,FW,27-014,9.0,19.0,2.27,11.0,1.0,4.0,1.0,1.0,1.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
48,Sofiane Boufal,ma MAR,"FW,MF",27-227,8.1,18.0,2.21,10.0,0.0,3.0,0.0,4.0,1.0,2.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Matches,angers
49,Mohamed Ali Cho,fr FRA,"FW,MF",17-103,4.3,5.0,1.51,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
50,Ludovic Butelle,fr FRA,GK,38-029,4.0,,,,,,,,,,,,,,,,,,Matches,angers
51,Farid El Melali,dz ALG,"FW,MF",23-293,3.7,8.0,2.82,4.0,0.0,1.0,0.0,3.0,0.0,3.0,1.06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Matches,angers
52,Baptiste Santamaria,fr FRA,MF,26-054,3.0,8.0,2.67,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
53,Enzo Ebosse,fr FRA,DF,22-052,2.9,1.0,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
54,Rayan Aït Nouri,fr FRA,DF,19-330,2.1,8.0,3.85,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.96,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,angers
55,Wilfried Kanga,fr FRA,FW,23-070,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
56,Zinédine Ould Khaled,fr FRA,MF,21-108,0.7,1.0,2.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
57,Waniss Taibi,fr FRA,MF,19-056,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
58,Noah Fatar,fr FRA,"FW,MF",19-076,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
